Select your year group:,Which AI platforms or tools have you used for schoolwork or homework? (Select all that apply),How often do you use AI tools for academic work?,For which subjects do you most commonly use AI tools? (Select all that apply),How do you typically use AI tools for your schoolwork? (Select all that apply),"When you use AI for homework, do you typically:",How do you feel about using AI tools for schoolwork?,How confident are you in your ability to use AI tools effectively and ethically?,Do you currently declare when you've used AI tools in your homework or assignments?,How aware do you think your teachers are of your AI usage?,"How do you feel about teachers using AI in their teaching, e.g. when preparing resources for lessons?",What support would be most helpful from school regarding AI use? (Select up to 3),Have you ever been unsure whether your use of AI was appropriate for a particular assignment or task?,How did you first learn about using AI tools for schoolwork?,Do you primarily use AI tools on:,Are your parents/guardians aware that you use AI tools for schoolwork?,"What has prevented you from using AI tools more, or what concerns do you have? (Select all that apply)","Is there anything else you'd like us to know about your experience with AI tools, or suggestions for how the school could better support students in this area?"
Year 7,I have not used any AI tools for schoolwork;,Never,never;,never;,i don't,Very negative - prefer not to use them,"Unsure what ""effective and ethical"" means in this context",I'm not sure if I'm supposed to,It varies significantly between teachers,Very negative ,Clear guidelines on when AI use is acceptable;,I haven't really thought about this,I didn't,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Don't know how to use them effectively;Prefer to do work without AI assistance;Privacy concerns about my data;,No
Year 7,Language translation tools (e.g. Google Translate);I have not used any AI tools for schoolwork;,Rarely,"Modern Foreign Languages;Creative subjects (Art, Music, Drama);",Translating text between languages;,never,Neutral - neither positive nor negative,Somewhat confident,Rarely,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Understanding how to cite/acknowledge AI use properly;,"Yes, but only once or twice","Social media (TikTok, YouTube, etc.)",School devices/network,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;,no
Year 7,I have not used any AI tools for schoolwork;,Several times a week,"Sciences (Biology, Chemistry, Physics);Modern Foreign Languages;Design Technology;Computer Science;",Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,Always,Very aware - they know exactly how and when I use AI,Somewhat positive ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,Family members,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;Privacy concerns about my data;Don't know how to use them effectively;,nothing in particular
Year 7,ChatGPT;,Rarely," English/Literature;Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful, Very confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Somewhat positive ,Clear guidelines on when AI use is acceptable;Discussion sessions about AI ethics;Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice","Social media (TikTok, YouTube, etc.)",Both school and personal devices equally,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Nothing prevents me - I use AI as much as I want;,I think learning about AI would be fun and even using AI in your school work could help alot.
Year 7,I have not used any AI tools for schoolwork;,Rarely,"Sciences (Biology, Chemistry, Physics);Modern Foreign Languages;Design Technology;Computer Science;",Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,Always,Somewhat aware - they have a general idea,Somewhat positive ,Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,I haven't really thought about this,News or articles,Personal devices at home,Not applicable - I don't use AI tools,Worried it might be considered cheating;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,I only use google for research
Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;Checking my work for errors;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea, Very positive ,Discussion sessions about AI ethics;Nothing - I'm comfortable with my current AI use;Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Teachers or school,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,No
Year 7,I have not used any AI tools for schoolwork;,Never, ;, ;, ,Very negative - prefer not to use them,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,I haven't really thought about this, ,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;School policies are unclear;Don't know how to use them effectively;, 
Year 7,Language translation tools (e.g. Google Translate);Microsoft Copilot;ChatGPT;,Rarely,Computer Science;Modern Foreign Languages;Design Technology;, Getting help understanding difficult concepts;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,Somewhat confident,Usually,Not very aware - they might suspect but don't know details,Somewhat negative ,Training on how to use AI tools effectively;,"Yes, but only once or twice",News or articles,Personal devices at home,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;,"I usually use AI for things at home like fun things, planning or just when I am bored. When I use it for schoolwork I usually use google translate to help me understand words. "
Year 7,Microsoft Copilot;Language translation tools (e.g. Google Translate);,Weekly,Modern Foreign Languages;,Helping with research and finding information;Translating text between languages;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,Sometimes,It varies significantly between teachers,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Learning about AI limitations and potential biases;,"Yes, frequently",Family members,Both school and personal devices equally,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;Don't know how to use them effectively;,I only use AI for mandarin lessons which is outside of school.
Year 7,I have not used any AI tools for schoolwork;,Never,I don't use it for any subjects;,I don't;,I don't,Very negative - prefer not to use them,Somewhat confident,Never,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Subject-specific guidance on appropriate AI use;,"No, never",Teachers or school,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Prefer to do work without AI assistance;Privacy concerns about my data;,No
Year 7,I have not used any AI tools for schoolwork;,Never,I don't use AI tools;,I don't use AI tools;,I don't use AI tools,Very negative - prefer not to use them,Somewhat confident,Never,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;Understanding how to cite/acknowledge AI use properly;,"No, never",Teachers or school,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Prefer to do work without AI assistance;Privacy concerns about my data;,No
Year 7,I have not used any AI tools for schoolwork;,Never,N/A;,Never;,Never,Very negative - prefer not to use them,"Unsure what ""effective and ethical"" means in this context",Never,Somewhat aware - they have a general idea,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Don't know how to use them effectively;Prefer to do work without AI assistance;,No.
Year 7,I have not used any AI tools for schoolwork;,Never,None;,Never;,Never,Unsure/haven't thought about it much,Somewhat confident,I'm not sure if I'm supposed to,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,I do not use AI;,"No, never",I do not use AI,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;School policies are unclear;Prefer to do work without AI assistance;,No
Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,I don't use it.;,I don't use it.,Unsure/haven't thought about it much,Not confident at all,Always,It varies significantly between teachers,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Discussion sessions about AI ethics;,I haven't really thought about this,Teachers or school,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Don't know how to use them effectively;Prefer to do work without AI assistance;,I don't use AI so for many of the questions I couldn't put a 100% negative answer.
Year 7,Microsoft Copilot;ChatGPT;,Rarely,"Modern Foreign Languages;Creative subjects (Art, Music, Drama);", Getting help understanding difficult concepts;Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,Rarely,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Family members,Both school and personal devices equally,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,I don't use AI a lot for school. Normally I would use it to come up with a list of fun ideas. The only time I use AI is if I don't understand a question and would like it to explain what it means.
Year 7,Microsoft Copilot;Grammarly (AI writing assistant);Photomath or similar math solvers;,Weekly,Mathematics; English/Literature;Modern Foreign Languages;, Getting help understanding difficult concepts;Solving math problems step-by-step;Translating text between languages;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Neutral - neither positive nor negative,Learning about AI limitations and potential biases;Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Everything,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;School policies are unclear;Prefer to do work without AI assistance;Concerned about accuracy of AI responses;,What use of AI is acceptable in which lessons 
Year 7,I have not used any AI tools for schoolwork;,Never,Never;,Never;,I don't use AI,Very negative - prefer not to use them,"Unsure what ""effective and ethical"" means in this context",I'm not sure if I'm supposed to,It varies significantly between teachers,Very negative ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;,I haven't really thought about this,I don't use AI,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;Don't know how to use them effectively;Prefer to do work without AI assistance;,No
Year 7,I have not used any AI tools for schoolwork;,Never,I do not use AI for school purposes. ;,Translating text between languages;,"Use AI only to understand concepts, not create content",Unsure/haven't thought about it much,Somewhat confident,Never,Not aware at all - they don't know I use AI,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,"No, never",Family members,I don't currently use AI tools,Not applicable - I don't use AI tools,Don't have reliable access to AI tools;,I do not use AI for school purposes. 
Year 7,I have not used any AI tools for schoolwork;,Never,I have never used it;,I have never used it;,I have never used it,Very negative - prefer not to use them,Not confident at all,Always,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"No, never",Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;,No
Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,to communicate with my Japanese exchange;Translating text between languages;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,"Unsure what ""effective and ethical"" means in this context",Rarely,It varies significantly between teachers,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;Training on how to use AI tools effectively;,"Yes, but only once or twice",Friends or classmates,Personal devices at school,"Yes, they know and are supportive",Cost of premium AI services;Privacy concerns about my data;,no
Year 7,ChatGPT;Microsoft Copilot;Photomath or similar math solvers;,Rarely," English/Literature;Mathematics;Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Checking my work for errors;Helping with research and finding information;Solving math problems step-by-step;,Use AI as a starting point and significantly modify the output,Very positive - they're extremely helpful,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Friends or classmates,School devices/network,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;School policies are unclear;,No
Year 7,"Microsoft Copilot;Language translation tools (e.g. Google Translate);That area above websites when using google, an AI response when researching something.;",Weekly,Modern Foreign Languages;,Translating tricky words. Researching.;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Somewhat positive ,Training on how to use AI tools effectively;,"Yes, but only once or twice","The AI response while researching is automatic, and teachers for certain websites.",Personal devices at school,I'm not sure if they know,Concerned about accuracy of AI responses;,no.
Year 7,Language translation tools (e.g. Google Translate);,Rarely,languages ( words I don't understand );, Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,Rarely,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,i don't know ,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;,no 
Year 7,ChatGPT;,Rarely,Modern Foreign Languages;,Translating text between languages;,none of them,Unsure/haven't thought about it much,Somewhat confident,Always,Somewhat aware - they have a general idea, Very positive ,Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,Family members,Personal devices at home,Not applicable - I don't use AI tools,none of them;Cost of premium AI services;,No
Year 7,Language translation tools (e.g. Google Translate);Microsoft Copilot;,Weekly,"Modern Foreign Languages;Sciences (Biology, Chemistry, Physics);", Getting help understanding difficult concepts;Translating text between languages;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Somewhat positive ,Training on how to use AI tools effectively;,"No, never",Teachers or school,School devices/network,"Yes, they know and are supportive",Don't know how to use them effectively;,"I don't use AI to draft my work, I use it to get information on a topic. Like bitesize or phet. I also use AI for quick translations but I mostly translate most of the text myself."
Year 12,ChatGPT;,Rarely,Humanities;, Getting help understanding difficult concepts;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;,"No, never",Teachers or school,Personal devices at home,"Yes, they know but don't have strong opinions",Concerned about accuracy of AI responses;environmental concerns ;,Clarification on the school's policies towards using AI/how they have changed as AI becomes more accessible 
Year 7,I have not used any AI tools for schoolwork;,Never,not really;,i don't;,i don't,Unsure/haven't thought about it much,Somewhat confident,Never,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,i don't really use AI for schoolwork,I don't currently use AI tools,Not applicable - I don't use AI tools,Nothing prevents me - I use AI as much as I want;,Do we have to?
Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Checking my work for errors;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative, Very confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,Personal devices at home,I'm not sure if they know,School policies are unclear;Prefer to do work without AI assistance;, 
Year 7,Language translation tools (e.g. Google Translate);word reference.;,Rarely,Modern Foreign Languages;,Knowing if its masculine or feminine in another language I'm learning.;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance,Not very confident,Always,Somewhat aware - they have a general idea,Somewhat negative ,Discussion sessions about AI ethics;Subject-specific guidance on appropriate AI use;,"Yes, frequently",Friends or classmates,Personal devices at home,"Yes, they know but have concerns",Don't have reliable access to AI tools;Concerned about accuracy of AI responses;Privacy concerns about my data;,no
Year 7,I have not used any AI tools for schoolwork;,Never,None;,Not Used;,Use AI as a starting point and significantly modify the output,Unsure/haven't thought about it much,Not very confident,Always,It varies significantly between teachers,Unsure/haven't thought about it much,Clear guidelines on when AI use is acceptable;Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,Friends or classmates,Personal devices at home,Not applicable - I don't use AI tools,Worried it might be considered cheating;Don't have reliable access to AI tools;Concerned about accuracy of AI responses;Don't know how to use them effectively;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,No
Year 7,Language translation tools (e.g. Google Translate);,Rarely,Computer Science;, Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,Never,Somewhat aware - they have a general idea,Somewhat positive ,Clear guidelines on when AI use is acceptable;,"No, never",Friends or classmates,Personal devices at home,Not applicable - I don't use AI tools,Privacy concerns about my data;,Make clear rules about using AI
Year 7,Language translation tools (e.g. Google Translate);google;,Rarely,Modern Foreign Languages;,Checking my work for errors;Helping with research and finding information;Translating text between languages;,Use AI to check or improve work I've already created,Unsure/haven't thought about it much,Somewhat confident,Rarely,Somewhat aware - they have a general idea,Somewhat positive ,Nothing - I'm comfortable with my current AI use;,"Yes, occasionally",Found them myself through online research,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;,no
Year 7,I have not used any AI tools for schoolwork;,Rarely,"Modern Foreign Languages;Creative subjects (Art, Music, Drama);",Helping with research and finding information;,if not sure,Very positive - they're extremely helpful, Very confident,Rarely,It varies significantly between teachers,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,Personal devices at home,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;,no
Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;,Use AI as a starting point and significantly modify the output,Very negative - prefer not to use them,Not very confident,Sometimes,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,"Yes, they know but have concerns",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,no
Year 7,Language translation tools (e.g. Google Translate);,Rarely,to translate my vocab into simpler options;,Helping with research and finding information;,i only use for vocab,Somewhat positive - useful but with limitations, Very confident,Never,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;,I haven't really thought about this,Found them myself through online research,Personal devices at school,"Yes, they know and are supportive",Worried it might be considered cheating;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,give guidelines 
Year 7,I have not used any AI tools for schoolwork;,Never,I don’t use AI;,I don’t use AI;,I don’t use AI,Unsure/haven't thought about it much,Not very confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Learning about AI limitations and potential biases;Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,News or articles,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Don't know how to use them effectively;,.
Year 7,I have not used any AI tools for schoolwork;,Rarely,I don't use AI;,I don't use AI;,I don't use AI,Neutral - neither positive nor negative,"Unsure what ""effective and ethical"" means in this context",Never,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;,No
Year 7,I have not used any AI tools for schoolwork;,Never,None;,I don't use any;,Not use it,Very negative - prefer not to use them,"Unsure what ""effective and ethical"" means in this context",Always,Very aware - they know exactly how and when I use AI,Very negative ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;Subject-specific guidance on appropriate AI use;,I haven't really thought about this,Friends or classmates,I don't currently use AI tools,Not applicable - I don't use AI tools,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;,nope
Year 7,ChatGPT;Grammarly (AI writing assistant);Language translation tools (e.g. Google Translate);,Rarely," English/Literature;Creative subjects (Art, Music, Drama);",Creating first drafts of assignments;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful, Very confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Family members,Personal devices at home,"Yes, they know but don't have strong opinions",School policies are unclear;,not really
Year 8,ChatGPT;Language translation tools (e.g. Google Translate);,Rarely,"Sciences (Biology, Chemistry, Physics);Computer Science;",Generating ideas for essays or projects;Helping with research and finding information; Getting help understanding difficult concepts;Improving my writing style and grammar;,Use AI to check or improve work I've already created,Neutral - neither positive nor negative,Somewhat confident,Usually,Not very aware - they might suspect but don't know details,Somewhat positive ,Training on how to use AI tools effectively;Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Friends or classmates,Personal devices at school,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Prefer to do work without AI assistance;, 
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating text between languages;,Use AI to check or improve work I've already created,Neutral - neither positive nor negative,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Unsure/haven't thought about it much,Training on how to use AI tools effectively;,I haven't really thought about this,Friends or classmates,Both school and personal devices equally,"Yes, they know but have concerns",Worried it might be considered cheating;,No
Year 8,Language translation tools (e.g. Google Translate);I have not used any AI tools for schoolwork;,Rarely,Modern Foreign Languages;,Translating occasional words;,"Use AI only to understand concepts, not create content",Somewhat negative - concerned about over-reliance,"Unsure what ""effective and ethical"" means in this context",I'm not sure if I'm supposed to,Very aware - they know exactly how and when I use AI,Very negative ,Clear guidelines on when AI use is acceptable;Reasons why we shouldn't use AI;,I haven't really thought about this,Friends or classmates,I don't currently use AI tools,I'm not sure if they know,Worried it might be considered cheating;Privacy concerns about my data;Prefer to do work without AI assistance;,"I am against using AI for things, but think that occasionally translating phrases is okay."
Year 8,Google Bard/Gemini;,Monthly,Humanities;Modern Foreign Languages;,Checking my work for errors;Solving math problems step-by-step;,Use AI to check or improve work I've already created,Very negative - prefer not to use them,Somewhat confident,I'm not sure if I'm supposed to,Very aware - they know exactly how and when I use AI,Very negative ,Subject-specific guidance on appropriate AI use;,"Yes, occasionally",Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;,.
Year 8,ChatGPT;,Rarely,Modern Foreign Languages;,Translating text between languages;,Use AI to check or improve work I've already created,Neutral - neither positive nor negative,Somewhat confident,Sometimes,Not very aware - they might suspect but don't know details, Very positive ,Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,Teachers or school,Personal devices at home,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;,.
Year 8,Language translation tools (e.g. Google Translate);,Never,Modern Foreign Languages;none;, Getting help understanding difficult concepts;Helping with research and finding information;Translating text between languages;,i dont,Somewhat positive - useful but with limitations,"Unsure what ""effective and ethical"" means in this context",Sometimes,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Subject-specific guidance on appropriate AI use;Nothing - I'm comfortable with my current AI use;,"Yes, but only once or twice",Friends or classmates,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;,i didnt know google translate was considered ai but i used it a little 
Year 8,Language translation tools (e.g. Google Translate);ChatGPT;,Monthly,Computer Science;latin ;,Checking my work for errors;Helping with research and finding information;using it to revise;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations, Very confident,Sometimes,It varies significantly between teachers,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Friends or classmates,Both school and personal devices equally,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;School policies are unclear;its blocked so i can only use at home;,no
Year 8,ChatGPT;Microsoft Copilot;Language translation tools (e.g. Google Translate);,Monthly,"Sciences (Biology, Chemistry, Physics);Computer Science;", Getting help understanding difficult concepts;Checking my work for errors;Helping with research and finding information;Translating text between languages;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations, Very confident,Always,Somewhat aware - they have a general idea,Somewhat positive ,Talking about how we should use AI effectively without cheating on homework or projects and developing things into your own ideas;,"Yes, but only once or twice",Friends or classmates,Both school and personal devices equally,"Yes, they know but have concerns",Worried it might be considered cheating;School policies are unclear;,Trying to incorporate it into lessons effectively 
Year 8,We used an AI music software that creates harmonies based on a specific composer in Computer Science;,Rarely,Computer Science;,learning about it in computer science and testing some out;,I don't use AI for homework,Very negative - prefer not to use them, Very confident,Always,Somewhat aware - they have a general idea,Somewhat negative ,Subject-specific guidance on appropriate AI use;,"No, never",I don't use AI for schoolwork or homework,I don't currently use AI tools,Not applicable - I don't use AI tools,Concerned about accuracy of AI responses;School policies are unclear;Prefer to do work without AI assistance;Privacy concerns about my data;Worried it might be considered cheating;,No
Year 8,ChatGPT;Microsoft Copilot;,Rarely,"Creative subjects (Art, Music, Drama);",Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Subject-specific guidance on appropriate AI use;,"Yes, but only once or twice",Friends or classmates,Both school and personal devices equally,"Yes, they know and are supportive",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,no
Year 8,ChatGPT;,Never, English/Literature;,Helping with research and finding information;,Use AI to check or improve work I've already created,Somewhat negative - concerned about over-reliance,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Nothing - I'm comfortable with my current AI use;,"No, never",Friends or classmates,I don't currently use AI tools,I'm not sure if they know,Worried it might be considered cheating;Prefer to do work without AI assistance;,Nothing thank you. 
Year 8,ChatGPT;,Rarely," English/Literature;Humanities;Creative subjects (Art, Music, Drama);", Getting help understanding difficult concepts;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful,Somewhat confident,Sometimes,Not very aware - they might suspect but don't know details, Very positive ,Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;Understanding how to cite/acknowledge AI use properly;,"Yes, but only once or twice",Family members,Personal devices at home,"Yes, they know and are supportive",Nothing prevents me - I use AI as much as I want;,No
Year 8,Microsoft Copilot;,Rarely, English/Literature;, Getting help understanding difficult concepts;Checking my work for errors;Improving my writing style and grammar;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,Usually,Somewhat aware - they have a general idea,Unsure/haven't thought about it much,Training on how to use AI tools effectively;,I haven't really thought about this,Teachers or school,Personal devices at school,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;,No
Year 8,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Translating word or two words im not sure about;,"Use AI only to understand concepts, not create content",Unsure/haven't thought about it much,Not very confident,Always,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;Training on how to use AI tools effectively;,"No, never",Teachers or school,School devices/network,"Yes, they know but don't have strong opinions",Worried it might be considered cheating;Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Privacy concerns about my data;,Teachers should always say when you can use AI because then it makes it very clear.
